Employee_ID,Name,Age,Gender,Department,Position,Date_Hired,Employment_Type,Monthly_Salary,Performance_Score,Training_Hours,Leave_Days_Taken,Overtime_Hours,Resigned
HR0091,Robert Neal,22,Male,HR,HR Officer,29/05/2023,Part-Time,5160,4,68,27,43,No
HR0092,Mark Garcia,22,Female,HR,HR Officer,23/05/2021,Contract,5240,4,95,19,13,No
HR0093,Edward Ballard,54,Female,HR,HR Assistant,24/02/2020,Part-Time,4300,2,15,23,30,Yes
HR0094,Michael Williams,56,Male,HR,HR Assistant,04/06/2015,Part-Time,10620,3,18,2,2,Yes
HR0095,Sean Warner,31,Female,HR,HR Assistant,05/01/2020,Contract,5320,1,3,20,43,No
HR0096,Dr. Rhonda Ibarra,42,Male,HR,HR Manager,02/06/2019,Full-Time,3640,1,26,0,30,No
HR0097,Randy Willis,46,Other,HR,Recruiter,20/09/2015,Part-Time,7710,3,18,23,1,Yes
HR0098,Andrea Shelton,46,Male,HR,Recruiter,28/12/2016,Full-Time,3750,3,94,28,49,No
HR0099,Jessica Miller,58,Male,HR,HR Manager,16/01/2022,Part-Time,9590,1,12,8,29,No
HR0100,Suzanne Reed,37,Other,HR,Recruiter,12/02/2023,Part-Time,7600,1,62,20,44,Yes
HR0101,Ashley Simmons,36,Male,HR,Training Specialist,15/06/2021,Full-Time,8330,2,83,1,5,No
HR0102,Dennis Gentry,40,Male,HR,HR Officer,09/05/2025,Contract,5890,1,75,17,0,Yes
HR0103,Karen Reeves,51,Female,HR,HR Manager,20/02/2021,Full-Time,4550,2,87,6,25,No
HR0104,Derrick Rocha,25,Female,HR,Recruiter,13/12/2024,Full-Time,6820,4,66,21,15,No
HR0105,Emily Hamilton,35,Male,HR,Recruiter,06/02/2021,Full-Time,8780,5,41,18,37,No
HR0106,Samantha Monroe,26,Female,HR,HR Officer,06/03/2016,Full-Time,9660,4,51,23,49,No
HR0107,Matthew Malone,54,Male,HR,HR Manager,18/09/2019,Contract,6980,3,27,21,28,No
HR0108,Catherine Johnson,46,Other,HR,Recruiter,09/09/2021,Part-Time,4160,1,54,6,40,Yes
HR0109,Tiffany Williamson,57,Other,HR,Training Specialist,23/05/2023,Part-Time,9050,5,66,1,45,No
HR0110,Raymond Russell,38,Other,HR,HR Manager,03/09/2016,Contract,6540,1,90,23,23,Yes
HR0111,Erica Davis,41,Female,HR,HR Assistant,01/06/2016,Contract,5800,4,37,30,21,Yes
HR0112,Michelle Valenzuela,57,Male,HR,Training Specialist,02/05/2018,Contract,6230,3,1,26,5,No
HR0113,Nicole Dixon,40,Female,HR,HR Assistant,25/09/2021,Contract,11100,3,97,13,12,No
HR0114,Carolyn Miller,41,Other,HR,Recruiter,27/03/2022,Full-Time,9270,1,4,20,3,No
HR0115,Ashley Krueger,46,Other,HR,HR Assistant,15/08/2024,Part-Time,8470,2,94,4,36,No
HR0116,Jason Murillo,37,Male,HR,Recruiter,28/06/2024,Part-Time,4900,4,70,14,12,No
HR0117,Jacob Drake,53,Male,HR,Recruiter,23/03/2021,Part-Time,10080,4,67,2,27,Yes
HR0118,Julia Michael,60,Female,HR,Training Specialist,08/02/2023,Part-Time,10870,3,82,14,43,Yes
HR0119,Amy Black,40,Other,HR,HR Officer,23/07/2020,Contract,4670,1,30,15,39,Yes
HR0120,Randy Mcconnell,47,Other,HR,Recruiter,11/05/2017,Full-Time,5920,2,38,17,41,No
HR0121,Michael Moore,45,Female,HR,HR Manager,12/06/2022,Full-Time,4190,1,57,16,0,Yes
HR0122,David Erickson,34,Male,HR,HR Assistant,26/06/2021,Part-Time,11670,3,7,27,25,Yes
HR0123,Nicholas Hurley,49,Male,HR,HR Manager,27/02/2017,Contract,8810,1,75,2,33,No
HR0124,Jeffrey Hall,44,Male,HR,HR Manager,09/04/2016,Contract,4820,5,9,11,22,No
HR0125,Brian Diaz,28,Male,HR,Training Specialist,08/04/2020,Full-Time,8350,4,39,28,5,No
HR0126,Lisa Warren,22,Female,HR,HR Assistant,23/08/2016,Contract,10130,3,81,22,6,Yes
HR0127,Jeffrey Davis,38,Other,HR,HR Officer,14/02/2021,Full-Time,3250,1,33,18,20,No
HR0128,Lori Blankenship,33,Male,HR,HR Assistant,24/08/2017,Full-Time,4680,1,62,22,34,No
HR0129,Terry Goodman,31,Female,HR,HR Manager,23/11/2016,Contract,7050,5,23,16,31,Yes
HR0130,Alice Rice,47,Other,HR,HR Assistant,17/10/2016,Full-Time,3850,5,90,12,16,No
HR0131,David Graves,50,Other,HR,HR Manager,30/10/2021,Contract,5570,1,44,17,49,Yes
HR0132,Jeremy Martin,25,Other,HR,Training Specialist,31/10/2024,Full-Time,5620,4,99,24,7,No
HR0133,Jennifer Silva,28,Male,HR,HR Officer,28/02/2020,Part-Time,6940,1,13,27,36,No
HR0134,James Daniels,55,Male,HR,HR Manager,01/06/2023,Part-Time,8870,1,90,26,20,Yes
HR0135,Carolyn Bell,32,Other,HR,Training Specialist,30/07/2021,Contract,5900,4,67,24,12,No
HR0136,Heather Morales,23,Male,HR,Recruiter,22/02/2022,Part-Time,11530,4,38,16,1,Yes
HR0137,Sharon Hodges,41,Male,HR,HR Manager,19/01/2023,Contract,7930,1,32,26,21,Yes
HR0138,Alan Hunter DDS,38,Male,HR,HR Assistant,28/01/2020,Full-Time,6480,3,37,12,42,Yes
HR0139,Charles Wallace,25,Female,HR,Training Specialist,31/05/2018,Part-Time,8450,3,42,1,17,Yes
HR0140,Mr. Jose Jordan,48,Female,HR,Training Specialist,05/09/2023,Full-Time,3870,2,63,2,44,Yes
HR0141,Jonathan Miller,32,Other,HR,Recruiter,21/10/2024,Part-Time,8440,2,46,13,49,No
HR0142,Michael Bonilla,34,Male,HR,HR Manager,13/05/2016,Part-Time,4560,3,23,10,4,Yes
HR0143,Megan Glass,33,Other,HR,Recruiter,28/05/2022,Contract,7160,4,37,28,23,No
HR0144,Jonathan Pierce,48,Female,HR,Recruiter,28/04/2022,Full-Time,11450,5,67,24,10,No
HR0145,Tony Coleman,32,Female,HR,Training Specialist,23/07/2018,Full-Time,4810,1,86,20,6,No
HR0146,Savannah Bryant,28,Male,HR,HR Manager,19/12/2019,Part-Time,7320,1,28,28,1,Yes
HR0147,Michael Browning,33,Female,HR,Training Specialist,05/12/2015,Part-Time,10670,4,17,0,24,No
HR0148,Jeffery Finley,43,Male,HR,HR Officer,20/07/2023,Contract,11850,5,83,15,4,No
HR0149,Anthony Marsh,34,Other,HR,Recruiter,11/12/2020,Full-Time,4720,5,44,10,16,Yes
HR0150,Allen Nguyen,49,Male,HR,Training Specialist,07/06/2018,Full-Time,6050,2,13,25,3,Yes
HR0151,Chad Bautista,60,Other,HR,HR Officer,13/10/2024,Part-Time,8940,2,64,13,43,Yes
HR0152,Lauren Rogers,46,Male,HR,HR Manager,11/07/2018,Contract,3790,4,85,26,49,No
HR0153,Lisa Mays,49,Male,HR,HR Officer,10/03/2023,Contract,7400,1,2,11,2,No
HR0154,Michele Robertson,58,Male,HR,Training Specialist,03/03/2022,Part-Time,3150,2,87,20,15,No
HR0155,Robert Walker,34,Female,HR,HR Assistant,19/02/2023,Full-Time,3600,5,89,27,9,Yes
HR0156,David Thomas,41,Male,HR,Recruiter,08/02/2021,Full-Time,3490,1,60,0,26,Yes
HR0157,Richard Bates,30,Female,HR,HR Officer,24/01/2021,Contract,11430,1,30,19,45,No
HR0158,Kayla Wells,28,Male,HR,Recruiter,20/12/2017,Contract,7470,4,32,18,45,Yes
HR0159,James Reese,37,Female,HR,Recruiter,26/01/2020,Full-Time,7730,3,45,9,27,No
HR0160,Abigail Mendez,52,Male,HR,HR Assistant,19/02/2023,Part-Time,9210,4,84,3,18,Yes
HR0161,Donald Bernard,49,Other,HR,HR Officer,19/10/2024,Part-Time,7480,3,41,8,6,No
HR0162,Gary Lewis,56,Female,HR,HR Assistant,31/07/2022,Part-Time,4810,4,11,13,32,Yes
HR0163,David Tyler,47,Male,HR,Recruiter,12/08/2017,Full-Time,10770,1,51,14,40,No
HR0164,Miguel Robertson,37,Other,HR,HR Manager,28/06/2016,Full-Time,5410,4,39,6,45,Yes
HR0165,Anna Warner,52,Male,HR,HR Officer,07/01/2023,Contract,5130,4,99,17,14,Yes
HR0166,Louis Walker,27,Female,HR,Recruiter,28/01/2021,Part-Time,11100,3,14,24,24,Yes
HR0167,Darryl Miller,22,Other,HR,Recruiter,27/10/2017,Contract,9910,3,7,17,40,Yes
HR0168,Michael Hunter,30,Female,HR,Recruiter,29/01/2016,Part-Time,10370,5,47,12,26,No
HR0169,Mary Watson,41,Male,HR,Recruiter,24/07/2023,Contract,5550,1,17,23,10,No
HR0170,Joshua Morgan,22,Male,HR,HR Manager,20/11/2022,Contract,11590,5,84,29,44,Yes
HR0171,Veronica Juarez,55,Female,HR,HR Manager,30/03/2016,Full-Time,8130,2,27,21,29,No
HR0172,Brandon Velasquez,35,Other,HR,HR Manager,02/12/2015,Contract,6400,3,62,15,35,Yes
HR0173,Sandra Atkinson,57,Female,HR,HR Officer,13/12/2023,Part-Time,6030,4,80,3,7,Yes
HR0174,Erika Perez,55,Female,HR,Recruiter,14/07/2018,Contract,3980,2,76,8,43,Yes
HR0175,Kimberly Parker,45,Male,HR,HR Officer,26/03/2016,Part-Time,5140,3,10,25,43,No
HR0176,Michael Williams,37,Male,HR,HR Assistant,24/08/2018,Part-Time,10120,3,16,12,41,Yes
HR0177,Thomas Odom,36,Other,HR,HR Assistant,21/01/2019,Part-Time,5820,1,27,14,12,Yes
HR0178,Matthew Medina,26,Male,HR,Training Specialist,08/02/2022,Full-Time,10960,5,21,2,37,Yes
HR0179,Rachel Thomas,23,Other,HR,Recruiter,25/07/2018,Part-Time,5940,2,97,23,21,No
HR0180,Norma Russell,34,Male,HR,HR Officer,06/04/2025,Contract,9180,2,100,17,46,No
HR0181,Lisa Mcfarland MD,55,Male,HR,HR Officer,27/06/2023,Full-Time,9310,4,92,2,33,No
HR0182,Catherine Perez,55,Female,HR,HR Officer,28/08/2024,Full-Time,6980,3,73,8,19,Yes
HR0183,Lisa Collins,51,Other,HR,Recruiter,31/01/2022,Full-Time,5110,1,69,29,26,Yes
HR0184,Diana Taylor,42,Female,HR,Recruiter,04/09/2016,Part-Time,6820,5,7,9,5,No
HR0185,Valerie Lopez,36,Female,HR,HR Officer,17/06/2020,Contract,3650,1,77,18,38,Yes
HR0186,Ryan Davis,47,Other,HR,HR Officer,14/01/2024,Full-Time,5300,3,9,22,37,Yes
HR0187,Albert Cruz,25,Male,HR,Training Specialist,30/10/2017,Contract,7330,3,15,2,32,Yes
HR0188,Chelsea Butler,45,Other,HR,Training Specialist,13/12/2015,Part-Time,4160,5,20,17,12,Yes
HR0189,Paul Hardy,24,Male,HR,Recruiter,07/07/2015,Part-Time,3740,4,4,11,1,No
HR0190,Diana Rodriguez,56,Female,HR,HR Assistant,17/08/2022,Full-Time,3580,2,77,24,18,Yes
HR0191,Brian Baker,53,Other,HR,HR Manager,01/03/2024,Part-Time,6010,4,45,20,25,No
HR0192,Linda Cabrera,49,Male,HR,HR Manager,02/07/2022,Part-Time,7090,4,93,11,40,Yes
HR0193,Mr. Adrian Mathis,51,Other,HR,HR Manager,31/08/2022,Part-Time,11720,4,37,19,25,No
HR0194,Sara Brown,25,Female,HR,HR Officer,10/06/2024,Full-Time,8390,1,56,12,32,Yes
HR0195,Linda Mills,23,Male,HR,HR Manager,07/03/2017,Part-Time,11190,3,85,30,4,No
HR0196,Michael Cole,46,Male,HR,HR Manager,11/12/2023,Full-Time,4420,4,28,19,4,No
HR0197,Anthony Hawkins,33,Other,HR,Training Specialist,12/02/2020,Full-Time,9320,5,6,13,16,Yes
HR0198,Kimberly White,45,Male,HR,HR Manager,12/03/2025,Part-Time,4160,5,17,13,32,No
HR0199,Mrs. Karen Powell,29,Other,HR,HR Assistant,01/08/2015,Full-Time,5860,5,46,7,7,No
HR0200,Michael Mcgee,40,Other,HR,Recruiter,21/12/2015,Contract,7910,1,71,26,17,Yes
